"","V1","V2","V3","V4","number","cl","cll"
"110",121.260364,121.3071552,31.141951,31.0939595,562,121.2837596,31.11795525
"111",121.260364,121.3071552,31.1899425,31.141951,253,121.2837596,31.16594675
"112",121.260364,121.3071552,31.237934,31.1899425,325,121.2837596,31.21393825
"113",121.260364,121.3071552,31.2859255,31.237934,148,121.2837596,31.26192975
"114",121.260364,121.3071552,31.333917,31.2859255,135,121.2837596,31.30992125
"115",121.260364,121.3071552,31.3819085,31.333917,289,121.2837596,31.35791275
"116",121.260364,121.3071552,31.4299,31.3819085,425,121.2837596,31.40590425
"117",121.260364,121.3071552,31.4778915,31.4299,9,121.2837596,31.45389575
"118",121.260364,121.3071552,31.525883,31.4778915,1,121.2837596,31.50188725
"119",121.260364,121.3071552,31.5738745,31.525883,0,121.2837596,31.54987875
"120",121.260364,121.3071552,31.621866,31.5738745,0,121.2837596,31.59787025
"121",121.3071552,121.3539464,30.7100275,30.662036,0,121.3305508,30.68603175
"122",121.3071552,121.3539464,30.758019,30.7100275,772,121.3305508,30.73402325
"123",121.3071552,121.3539464,30.8060105,30.758019,58,121.3305508,30.78201475
"124",121.3071552,121.3539464,30.854002,30.8060105,10,121.3305508,30.83000625
"125",121.3071552,121.3539464,30.9019935,30.854002,94,121.3305508,30.87799775
"126",121.3071552,121.3539464,30.949985,30.9019935,11,121.3305508,30.92598925
"127",121.3071552,121.3539464,30.9979765,30.949985,13,121.3305508,30.97398075
"128",121.3071552,121.3539464,31.045968,30.9979765,44,121.3305508,31.02197225
"129",121.3071552,121.3539464,31.0939595,31.045968,414,121.3305508,31.06996375
"130",121.3071552,121.3539464,31.141951,31.0939595,699,121.3305508,31.11795525
"131",121.3071552,121.3539464,31.1899425,31.141951,1253,121.3305508,31.16594675
"132",121.3071552,121.3539464,31.237934,31.1899425,376,121.3305508,31.21393825
"133",121.3071552,121.3539464,31.2859255,31.237934,985,121.3305508,31.26192975
"134",121.3071552,121.3539464,31.333917,31.2859255,666,121.3305508,31.30992125
"135",121.3071552,121.3539464,31.3819085,31.333917,18,121.3305508,31.35791275
"136",121.3071552,121.3539464,31.4299,31.3819085,131,121.3305508,31.40590425
"137",121.3071552,121.3539464,31.4778915,31.4299,8,121.3305508,31.45389575
"138",121.3071552,121.3539464,31.525883,31.4778915,13,121.3305508,31.50188725
"139",121.3071552,121.3539464,31.5738745,31.525883,0,121.3305508,31.54987875
"140",121.3071552,121.3539464,31.621866,31.5738745,0,121.3305508,31.59787025
"141",121.3539464,121.4007376,30.7100275,30.662036,0,121.377342,30.68603175
"142",121.3539464,121.4007376,30.758019,30.7100275,226,121.377342,30.73402325
"143",121.3539464,121.4007376,30.8060105,30.758019,39,121.377342,30.78201475
"144",121.3539464,121.4007376,30.854002,30.8060105,1,121.377342,30.83000625
"145",121.3539464,121.4007376,30.9019935,30.854002,2,121.377342,30.87799775
"146",121.3539464,121.4007376,30.949985,30.9019935,0,121.377342,30.92598925
"147",121.3539464,121.4007376,30.9979765,30.949985,4,121.377342,30.97398075
"148",121.3539464,121.4007376,31.045968,30.9979765,138,121.377342,31.02197225
"149",121.3539464,121.4007376,31.0939595,31.045968,113,121.377342,31.06996375
"150",121.3539464,121.4007376,31.141951,31.0939595,1972,121.377342,31.11795525
"151",121.3539464,121.4007376,31.1899425,31.141951,2963,121.377342,31.16594675
"152",121.3539464,121.4007376,31.237934,31.1899425,2718,121.377342,31.21393825
"153",121.3539464,121.4007376,31.2859255,31.237934,1965,121.377342,31.26192975
